period,seriesId,seriesDescription,value,unit
2025-11,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,73.753058017,million barrels per day
2025-10,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,73.573582527,million barrels per day
2025-09,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,73.801286233,million barrels per day
2025-08,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,73.611210034,million barrels per day
2025-07,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,73.1274969,million barrels per day
2025-06,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,71.988777367,million barrels per day
2025-05,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,71.454363645,million barrels per day
2025-04,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,71.491345467,million barrels per day
2025-03,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,71.657927387,million barrels per day
2025-02,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,70.428600786,million barrels per day
2025-01,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,70.016773571,million barrels per day
2024-12,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,70.94560297,million barrels per day
2024-11,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,71.175387154,million barrels per day
2024-10,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,71.06179499,million barrels per day
2024-09,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,70.263505654,million barrels per day
2024-08,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,70.760300997,million barrels per day
2024-07,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,70.31027931,million barrels per day
2024-06,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,70.651025391,million barrels per day
2024-05,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,70.243919133,million barrels per day
2024-04,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,70.494073215,million barrels per day
2024-03,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,70.541598447,million barrels per day
2024-02,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,70.049799593,million barrels per day
2024-01,PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,69.069550656,million barrels per day
