period,seriesId,seriesDescription,value,unit
2025-11,PAPR_OPEC,Total OPEC Petroleum Supply,33.61377747,million barrels per day
2025-10,PAPR_OPEC,Total OPEC Petroleum Supply,33.917450646,million barrels per day
2025-09,PAPR_OPEC,Total OPEC Petroleum Supply,34.686223919,million barrels per day
2025-08,PAPR_OPEC,Total OPEC Petroleum Supply,33.469089749,million barrels per day
2025-07,PAPR_OPEC,Total OPEC Petroleum Supply,33.61646494,million barrels per day
2025-06,PAPR_OPEC,Total OPEC Petroleum Supply,33.8553,million barrels per day
2025-05,PAPR_OPEC,Total OPEC Petroleum Supply,33.4272,million barrels per day
2025-04,PAPR_OPEC,Total OPEC Petroleum Supply,32.9552,million barrels per day
2025-03,PAPR_OPEC,Total OPEC Petroleum Supply,33.1231,million barrels per day
2025-02,PAPR_OPEC,Total OPEC Petroleum Supply,32.8663,million barrels per day
2025-01,PAPR_OPEC,Total OPEC Petroleum Supply,32.7496,million barrels per day
2024-12,PAPR_OPEC,Total OPEC Petroleum Supply,32.8492,million barrels per day
2024-11,PAPR_OPEC,Total OPEC Petroleum Supply,32.7387,million barrels per day
2024-10,PAPR_OPEC,Total OPEC Petroleum Supply,32.7244,million barrels per day
2024-09,PAPR_OPEC,Total OPEC Petroleum Supply,32.2056,million barrels per day
2024-08,PAPR_OPEC,Total OPEC Petroleum Supply,32.8242,million barrels per day
2024-07,PAPR_OPEC,Total OPEC Petroleum Supply,32.8942,million barrels per day
2024-06,PAPR_OPEC,Total OPEC Petroleum Supply,32.4553,million barrels per day
2024-05,PAPR_OPEC,Total OPEC Petroleum Supply,32.864,million barrels per day
2024-04,PAPR_OPEC,Total OPEC Petroleum Supply,32.9727,million barrels per day
2024-03,PAPR_OPEC,Total OPEC Petroleum Supply,33.0188,million barrels per day
2024-02,PAPR_OPEC,Total OPEC Petroleum Supply,32.7206,million barrels per day
2024-01,PAPR_OPEC,Total OPEC Petroleum Supply,32.4201,million barrels per day
