period,seriesId,seriesDescription,value,unit
2025-11,PAPR_WORLD,Total World Petroleum Production,107.36683549,million barrels per day
2025-10,PAPR_WORLD,Total World Petroleum Production,107.49103317,million barrels per day
2025-09,PAPR_WORLD,Total World Petroleum Production,108.48751015,million barrels per day
2025-08,PAPR_WORLD,Total World Petroleum Production,107.08029978,million barrels per day
2025-07,PAPR_WORLD,Total World Petroleum Production,106.74396184,million barrels per day
2025-06,PAPR_WORLD,Total World Petroleum Production,105.84407737,million barrels per day
2025-05,PAPR_WORLD,Total World Petroleum Production,104.88156365,million barrels per day
2025-04,PAPR_WORLD,Total World Petroleum Production,104.44654547,million barrels per day
2025-03,PAPR_WORLD,Total World Petroleum Production,104.78102739,million barrels per day
2025-02,PAPR_WORLD,Total World Petroleum Production,103.29490079,million barrels per day
2025-01,PAPR_WORLD,Total World Petroleum Production,102.76637357,million barrels per day
2024-12,PAPR_WORLD,Total World Petroleum Production,103.79480297,million barrels per day
2024-11,PAPR_WORLD,Total World Petroleum Production,103.91408715,million barrels per day
2024-10,PAPR_WORLD,Total World Petroleum Production,103.78619499,million barrels per day
2024-09,PAPR_WORLD,Total World Petroleum Production,102.46910565,million barrels per day
2024-08,PAPR_WORLD,Total World Petroleum Production,103.584501,million barrels per day
2024-07,PAPR_WORLD,Total World Petroleum Production,103.20447931,million barrels per day
2024-06,PAPR_WORLD,Total World Petroleum Production,103.10632539,million barrels per day
2024-05,PAPR_WORLD,Total World Petroleum Production,103.10791913,million barrels per day
2024-04,PAPR_WORLD,Total World Petroleum Production,103.46677322,million barrels per day
2024-03,PAPR_WORLD,Total World Petroleum Production,103.56039845,million barrels per day
2024-02,PAPR_WORLD,Total World Petroleum Production,102.77039959,million barrels per day
2024-01,PAPR_WORLD,Total World Petroleum Production,101.48965066,million barrels per day
