Year,Quarter,Month,Day,SAF (HEFA-SPK) FOB Straits $/mt (mirror),UCO FOB Straits $/mt,Earliest Date
2024,Qtr 1,January,2,,810.00,2024-01-02 00:00:00
2024,Qtr 1,January,3,,810.00,2024-01-03 00:00:00
2024,Qtr 1,January,4,,810.00,2024-01-04 00:00:00
2024,Qtr 1,January,5,,810.00,2024-01-05 00:00:00
2024,Qtr 1,January,8,,810.00,2024-01-08 00:00:00
2024,Qtr 1,January,9,,825.00,2024-01-09 00:00:00
2024,Qtr 1,January,10,,825.00,2024-01-10 00:00:00
2024,Qtr 1,January,11,,825.00,2024-01-11 00:00:00
2024,Qtr 1,January,12,,815.00,2024-01-12 00:00:00
2024,Qtr 1,January,15,,835.00,2024-01-15 00:00:00
2024,Qtr 1,January,16,,825.00,2024-01-16 00:00:00
2024,Qtr 1,January,17,,825.00,2024-01-17 00:00:00
2024,Qtr 1,January,18,,815.00,2024-01-18 00:00:00
2024,Qtr 1,January,19,,845.00,2024-01-19 00:00:00
2024,Qtr 1,January,22,,845.00,2024-01-22 00:00:00
2024,Qtr 1,January,23,,835.00,2024-01-23 00:00:00
2024,Qtr 1,January,24,,825.00,2024-01-24 00:00:00
2024,Qtr 1,January,25,,825.00,2024-01-25 00:00:00
2024,Qtr 1,January,26,,825.00,2024-01-26 00:00:00
2024,Qtr 1,January,29,,845.00,2024-01-29 00:00:00
2024,Qtr 1,January,30,,845.00,2024-01-30 00:00:00
2024,Qtr 1,January,31,,830.00,2024-01-31 00:00:00
2024,Qtr 1,February,1,,825.00,2024-02-01 00:00:00
2024,Qtr 1,February,2,,825.00,2024-02-02 00:00:00
2024,Qtr 1,February,5,,825.00,2024-02-05 00:00:00
2024,Qtr 1,February,6,,825.00,2024-02-06 00:00:00
2024,Qtr 1,February,7,,850.00,2024-02-07 00:00:00
2024,Qtr 1,February,8,,850.00,2024-02-08 00:00:00
2024,Qtr 1,February,9,,845.00,2024-02-09 00:00:00
2024,Qtr 1,February,13,,855.00,2024-02-13 00:00:00
2024,Qtr 1,February,14,,855.00,2024-02-14 00:00:00
2024,Qtr 1,February,15,,855.00,2024-02-15 00:00:00
2024,Qtr 1,February,16,,855.00,2024-02-16 00:00:00
2024,Qtr 1,February,19,,855.00,2024-02-19 00:00:00
2024,Qtr 1,February,20,,870.00,2024-02-20 00:00:00
2024,Qtr 1,February,21,,865.00,2024-02-21 00:00:00
2024,Qtr 1,February,22,,865.00,2024-02-22 00:00:00
2024,Qtr 1,February,23,,865.00,2024-02-23 00:00:00
2024,Qtr 1,February,26,,865.00,2024-02-26 00:00:00
2024,Qtr 1,February,27,,865.00,2024-02-27 00:00:00
2024,Qtr 1,February,28,,850.00,2024-02-28 00:00:00
2024,Qtr 1,February,29,,865.00,2024-02-29 00:00:00
2024,Qtr 1,March,1,,865.00,2024-03-01 00:00:00
2024,Qtr 1,March,4,,865.00,2024-03-04 00:00:00
2024,Qtr 1,March,5,,865.00,2024-03-05 00:00:00
2024,Qtr 1,March,6,,865.00,2024-03-06 00:00:00
2024,Qtr 1,March,7,,865.00,2024-03-07 00:00:00
2024,Qtr 1,March,8,,865.00,2024-03-08 00:00:00
2024,Qtr 1,March,11,,865.00,2024-03-11 00:00:00
2024,Qtr 1,March,12,,865.00,2024-03-12 00:00:00
2024,Qtr 1,March,13,,860.00,2024-03-13 00:00:00
2024,Qtr 1,March,14,,860.00,2024-03-14 00:00:00
2024,Qtr 1,March,15,,870.00,2024-03-15 00:00:00
2024,Qtr 1,March,18,,865.00,2024-03-18 00:00:00
2024,Qtr 1,March,19,,865.00,2024-03-19 00:00:00
2024,Qtr 1,March,20,,865.00,2024-03-20 00:00:00
2024,Qtr 1,March,21,,865.00,2024-03-21 00:00:00
2024,Qtr 1,March,22,,865.00,2024-03-22 00:00:00
2024,Qtr 1,March,25,,870.00,2024-03-25 00:00:00
2024,Qtr 1,March,26,,870.00,2024-03-26 00:00:00
2024,Qtr 1,March,27,,870.00,2024-03-27 00:00:00
